T,M,Time
1,1,0.4236822
1,10,15.9906134
1,20,30.0751264
1,30,44.0034598
1,40,50.1051022
1,50,60.3210184
1,100,60.2748576
10,1,0.2187314
10,10,2.1104894
10,20,3.7920068
10,30,5.4738792
10,40,6.0997546
10,50,7.5630312
10,100,7.5693848
20,1,0.2171178
20,10,1.3077862
20,20,2.1746102
20,30,3.029346
20,40,3.419074
20,50,4.2956678
20,100,4.312804
